,No.,Pos.,Player,DoB,Caps,Club,Age,Country,Club_Country,WC_Year
282,-,FW,František Svoboda,1905-07-05,39,SK Slavia Prague,28.0,Czechoslovakia,Czechoslovakia,1934
283,-,MF,Antonín Vodička,1907-03-01,14,SK Slavia Prague,27.0,Czechoslovakia,Czechoslovakia,1934
284,-,DF,Ladislav Ženíšek,1904-03-07,15,SK Slavia Prague,30.0,Czechoslovakia,Czechoslovakia,1934
285,*,MF,Ernst Albrecht,1907-11-12,17,Fortuna Düsseldorf,26.0,Germany,Germany,1934
286,-,FW,Jakob Bender,1910-03-23,3,Fortuna Düsseldorf,24.0,Germany,Germany,1934
287,*,GK,Fritz Buchloh,1909-11-26,5,VfB Speldorf,24.0,Germany,Germany,1934
288,-,DF,Willy Busch,1907-01-04,2,TuS Duisburg,27.0,Germany,Germany,1934
289,-,FW,Edmund Conen,1914-11-10,1,FV Saarbrücken,19.0,Germany,Germany,1934
290,*,FW,Franz Dienert,1900-01-01,0,VfB Mühlburg,34.0,Germany,Germany,1934
291,-,MF,Rudolf Gramlich,1908-06-06,7,Eintracht Frankfurt,25.0,Germany,Germany,1934
292,-,DF,Sigmund Haringer,1908-12-09,8,FC Bayern München,25.0,Germany,Germany,1934
293,-,FW,Matthias Heidemann,1912-02-07,1,SC Bonn,22.0,Germany,Germany,1934
294,-,MF,Karl Hohmann,1908-06-18,8,VfL Benrath,25.0,Germany,Germany,1934
295,-,GK,Hans Jakob,1908-06-16,8,Jahn Regensburg,25.0,Germany,Germany,1934
296,-,DF,Paul Janes,1912-03-10,5,Fortuna Düsseldorf,22.0,Germany,Germany,1934
297,-,FW,Stanislaus Kobierski,1910-11-15,12,Fortuna Düsseldorf,23.0,Germany,Germany,1934
298,-,GK,Willibald Kreß,1906-11-13,13,Rot-Weiss Frankfurt,27.0,Germany,Germany,1934
299,-,MF,Ernst Lehner,1912-11-07,3,TSV Schwaben Augsburg,21.0,Germany,Germany,1934
300,-,DF,Reinhold Münzenberg,1909-01-25,4,Alemannia Aachen,25.0,Germany,Germany,1934
301,-,FW,Rudolf Noack,1913-03-20,1,SV Hamburg,21.0,Germany,Germany,1934
302,-,DF,Hans Schwartz,1913-03-01,0,SpVgg Viktoria Hamburg,21.0,Germany,Germany,1934
303,-,FW,Otto Siffling,1912-08-03,0,Waldhof Mannheim,21.0,Germany,Germany,1934
304,*,FW,Josef Streb,1912-04-16,0,Wacker München,22.0,Germany,Germany,1934
305,-,MF,Fritz Szepan,1907-09-02,4,FC Schalke 04,26.0,Germany,Germany,1934
306,-,MF,Paul Zielinski,1911-11-20,0,SV Union Hamborn,22.0,Germany,Germany,1934
307,-,FW,Josef Bican,1913-09-25,6,Rapid Wien,20.0,Austria,Austria,1934
308,-,FW,Georg Braun,1907-02-22,6,Wiener SC,27.0,Austria,Austria,1934
309,-,DF,Franz Cisar,1908-11-28,5,Wiener SC,25.0,Austria,Austria,1934
310,-,GK,Friederich Franzl,1905-03-06,13,Wiener SC,29.0,Austria,Austria,1934
311,-,FW,Josef Hassmann,1910-05-21,0,First Vienna,24.0,Austria,Austria,1934
312,-,MF,Leopold Hofmann,1905-10-31,19,First Vienna,28.0,Austria,Austria,1934
313,-,FW,Johann Horvath,1903-05-20,41,First Vienna,31.0,Austria,Austria,1934
314,-,DF,Anton Janda,1904-05-01,9,Admira Wien,30.0,Austria,Austria,1934
315,,FW,Matthias Kaburek,1911-02-09,2,Rapid Wien,23.0,Austria,Austria,1934
316,-,GK,Peter Platzer,1910-05-29,10,Admira Wien,23.0,Austria,Austria,1934
317,-,GK,Rudolf Raftl,1911-02-07,1,Rapid Wien,23.0,Austria,Austria,1934
318,-,FW,Anton Schall,1907-06-22,26,Admira Wien,26.0,Austria,Austria,1934
319,-,DF,Willibald Schmaus,1911-06-16,0,First Vienna,22.0,Austria,Austria,1934
320,-,DF,Karl Sesta,1906-03-18,16,Wiener SC,28.0,Austria,Austria,1934
321,-,FW,Matthias Sindelar,1903-02-10,29,Austria Wien,31.0,Austria,Austria,1934
322,-,MF,Josef Smistik,1905-11-28,28,Rapid Wien,28.0,Austria,Austria,1934
323,-,FW,Josef Stroh,1913-03-05,0,Austria Wien,21.0,Austria,Austria,1934
324,-,MF,Johann Urbanek,1910-10-10,0,Admira Wien,23.0,Austria,Austria,1934
325,-,FW,Rudolf Viertl,1902-11-12,9,Austria Wien,31.0,Austria,Austria,1934
326,-,MF,Franz Wagner,1911-09-23,7,Rapid Wien,22.0,Austria,Austria,1934
327,-,FW,Hans Walzhofer,1906-03-23,4,Wacker Wien,28.0,Austria,Austria,1934
328,-,FW,Karl Zischek,1910-08-28,20,Wacker Wien,23.0,Austria,Austria,1934
329,-,MF,Crisant Bosch,1907-12-26,7,Espanyol,26.0,Spain,Spain,1934
330,-,FW,Campanal,1912-02-09,0,Sevilla FC,22.0,Spain,Spain,1934
331,-,FW,Chacho,1911-04-14,2,Deportivo de La Coruña,23.0,Spain,Spain,1934
332,-,MF,Leonardo Cilaurren,1912-11-05,8,Athletic Bilbao,21.0,Spain,Spain,1934
333,-,DF,Ciriaco,1904-08-08,11,Real Madrid,29.0,Spain,Spain,1934
334,-,FW,Fede,1912-10-14,2,Sevilla FC,21.0,Spain,Spain,1934
335,-,FW,Guillermo Gorostiza,1909-02-15,9,Athletic Bilbao,25.0,Spain,Spain,1934
336,-,FW,Hilario,1905-12-08,1,Real Madrid,28.0,Spain,Spain,1934
337,-,FW,José Iraragorri,1912-03-16,1,Athletic Bilbao,22.0,Spain,Spain,1934
338,-,FW,Lafuente,1907-12-31,5,Athletic Bilbao,26.0,Spain,Spain,1934
339,-,FW,Isidro Lángara,1912-05-25,3,Real Oviedo,22.0,Spain,Spain,1934
340,-,MF,Simón Lecue,1912-02-11,0,Real Betis,22.0,Spain,Spain,1934
341,-,MF,Martín Marculeta,1907-09-24,13,Real Sociedad,26.0,Spain,Spain,1934
342,-,FW,Luis Marín,1906-09-04,0,Atletico de Madrid,27.0,Spain,Spain,1934
343,-,MF,José Muguerza,1911-09-15,1,Athletic Bilbao,22.0,Spain,Spain,1934
344,-,GK,Juan José Nogués,1909-03-28,0,FC Barcelona,25.0,Spain,Spain,1934
345,-,DF,Jacinto Quincoces,1905-07-17,19,Real Madrid,28.0,Spain,Spain,1934
346,-,DF,Luis Regueiro,1908-07-01,16,Real Madrid,25.0,Spain,Spain,1934
347,-,FW,Pedro Solé,1905-05-07,3,Espanyol,29.0,Spain,Spain,1934
348,-,FW,Martí Ventolrà,1906-12-16,5,FC Barcelona,27.0,Spain,Spain,1934
349,-,DF,Ramón Zabalo,1910-06-10,5,FC Barcelona,23.0,Spain,Spain,1934
350,-,GK,Ricardo Zamora,1901-01-21,42,Real Madrid,33.0,Spain,Spain,1934
351,-,FW,István Avar,1905-05-30,17,Újpest FC,28.0,Hungary,Hungary,1934
352,-,DF,Sándor Bíró,1911-08-19,13,Hungária FC,22.0,Hungary,Hungary,1934
353,-,MF,János Dudás,1913-02-13,0,Hungária FC,21.0,Hungary,Hungary,1934
354,-,DF,Gyula Futó,1908-12-29,0,Újpest FC,25.0,Hungary,Hungary,1934
355,-,GK,József Háda,1911-03-02,11,Ferencváros FC,23.0,Hungary,Hungary,1934
356,-,FW,Tibor Kemény,1913-03-05,5,Ferencváros FC,21.0,Hungary,Hungary,1934
357,-,MF,Gyula Lázár,1911-01-24,19,Ferencváros FC,23.0,Hungary,Hungary,1934
358,-,FW,Imre Markos,1908-06-09,13,Debreceni Bocskai FC,25.0,Hungary,Hungary,1934
359,-,MF,István Palotás,1908-03-05,4,Debreceni Bocskai FC,26.0,Hungary,Hungary,1934
360,-,MF,Gyula Polgár,1912-02-08,5,Ferencváros FC,22.0,Hungary,Hungary,1934
361,-,FW,György Sárosi,1912-09-15,22,Ferencváros FC,21.0,Hungary,Hungary,1934
362,-,MF,Rezső Somlai,1911,0,Kispest FC,,Hungary,Hungary,1934
363,-,DF,László Sternberg,1905-05-28,7,Újpest FC,28.0,Hungary,Hungary,1934
364,-,GK,Antal Szabó,1910-09-04,10,Hungária FC,23.0,Hungary,Hungary,1934
365,-,FW,Gábor P. Szabó,1902-10-14,10,Újpest FC,31.0,Hungary,Hungary,1934
366,-,MF,Antal Szalay,1912-03-12,8,Újpest FC,22.0,Hungary,Hungary,1934
367,-,MF,György Szűcs,1912-04-23,3,Újpest FC,22.0,Hungary,Hungary,1934
368,-,FW,István Tamássy,1906-06-30,1,Újpest FC,27.0,Hungary,Hungary,1934
369,-,FW,Pál Teleki,1906-03-05,6,Debreceni Bocskai FC,28.0,Hungary,Hungary,1934
370,-,FW,Géza Toldi,1909-02-11,21,Ferencváros FC,25.0,Hungary,Hungary,1934
371,-,DF,József Vágó,1906-06-30,1,Debreceni Bocskai FC,27.0,Hungary,Hungary,1934
372,-,FW,Jenő Vincze,1908-11-20,5,Debreceni Bocskai FC,25.0,Hungary,Hungary,1934
373,-,FW,André Abegglen,1909-03-07,30,Grasshopper Club Zürich,25.0,Switzerland,Switzerland,1934
374,-,GK,Renato Bizzozero,1912,,FC Lugano,,Switzerland,Switzerland,1934
375,-,FW,Joseph Bossi,1911-08-29,3,FC Bern,22.0,Switzerland,Switzerland,1934
376,-,FW,Albert Büche,1911,,FC Nordstern Basel,,Switzerland,Switzerland,1934
377,-,FW,Otto Bühler,,,Grasshopper Club Zürich,,Switzerland,Switzerland,1934
378,-,MF,Ernst Frick,,,FC Luzern,,Switzerland,Switzerland,1934
379,-,DF,Louis Gobet,1908-10-28,,FC Bern,25.0,Switzerland,Switzerland,1934
380,-,MF,Albert Guinchard,1914-11-10,2,Servette FC,19.0,Switzerland,Switzerland,1934
381,-,FW,Erwin Hochsträsser,,,Lausanne Sports,,Switzerland,Switzerland,1934
382,-,GK,Willy Huber,1913-12-17,,Grasshopper Club Zürich,20.0,Switzerland,Switzerland,1934
383,-,MF,Ernst Hufschmid,1913-02-04,6,FC Basel,21.0,Switzerland,Switzerland,1934
384,-,MF,Fernand Jaccard,1907-10-08,0,FC La Tour-de-Peilz,26.0,Switzerland,Switzerland,1934
385,-,FW,Alfred Jaeck,1911-08-02,17,FC Basel,22.0,Switzerland,Switzerland,1934
386,-,FW,Willy Jäggi,1906-07-28,15,Lausanne Sports,27.0,Switzerland,Switzerland,1934
387,-,FW,Leopold Kielholz,1911-06-09,4,Servette FC,22.0,Switzerland,Switzerland,1934
388,-,MF,Edmond Loichot,,,Servette FC,,Switzerland,Switzerland,1934
389,-,DF,Severino Minelli,1909-09-06,27,Grasshopper Club Zürich,24.0,Switzerland,Switzerland,1934
390,-,DF,Arnaldo Ortelli,1913-08-05,,FC Lugano,20.0,Switzerland,Switzerland,1934
391,-,FW,Raymond Passello,1905-01-12,17,Servette FC,29.0,Switzerland,Switzerland,1934
392,-,GK,Frank Séchehaye,1907-11-03,31,Servette FC,26.0,Switzerland,Switzerland,1934
393,-,FW,Willy von Känel,1909-10-30,16,FC Bienne-Biel,24.0,Switzerland,Switzerland,1934
394,-,DF,Walter Weiler,1903-11-04,-,Grasshopper Club Zürich,30.0,Switzerland,Switzerland,1934
395,,GK,Anders Rydberg,1903-03-03,18,IFK Göteborg,31.0,Sweden,Sweden,1934
396,,GK,Eivar Widlund,1905-06-15,5,AIK Solna,28.0,Sweden,Sweden,1934
397,,DF,Otto Andersson,1910-05-07,9,Örgryte IS,24.0,Sweden,Sweden,1934
398,,DF,Sven Andersson,1907-02-14,15,AIK Solna,27.0,Sweden,Sweden,1934
399,,DF,Nils Axelsson,1906-01-18,7,Hälsingborgs IF,28.0,Sweden,Sweden,1934
400,,FW,Gösta Dunker,1905-09-16,-,Sandvikens IF,28.0,Sweden,Sweden,1934
401,,MF,Ernst Andersson,1909-03-26,11,IFK Göteborg,25.0,Sweden,Sweden,1934
402,,MF,Rune Carlsson,1909-10-01,5,IFK Eskilstuna,24.0,Sweden,Sweden,1934
403,,MF,Helge Liljebjörn,1904-08-16,-,GAIS,29.0,Sweden,Sweden,1934
404,,MF,Nils Rosén (c),1902-05-22,20,Hälsingborgs IF,32.0,Sweden,Sweden,1934
405,,FW,Ragnar Gustavsson,1907-09-28,6,GAIS,26.0,Sweden,Sweden,1934
406,,MF,Victor Carlund,1906-02-05,6,Örgryte IS,28.0,Sweden,Sweden,1934
407,,FW,Sven Jonasson,1909-07-09,2,IF Elfsborg,24.0,Sweden,Sweden,1934
408,,FW,Tore Keller,1905-01-04,18,IK Sleipner,29.0,Sweden,Sweden,1934
409,,FW,Knut Kroon,1906-06-19,31,Hälsingborgs IF,27.0,Sweden,Sweden,1934
410,,FW,Gunnar Olsson,1908-07-19,6,GAIS,25.0,Sweden,Sweden,1934
411,,FW,Arvid Thörn,1906-10-29,2,IFK Grängesberg,27.0,Sweden,Sweden,1934
412,,GK,Sture Hult,1910-10-19,-,IFK Eskilstuna,23.0,Reserves in stand by,Sweden,1934
413,,FW,Gunnar Jansson,1909-07-09,1,Gefle IF,24.0,Reserves in stand by,Sweden,1934
414,,FW,Lennart Bunke,1912-04-03,-,Hälsingborgs IF,22.0,Reserves in stand by,Sweden,1934
415,,FW,Carl-Erik Holmberg,1906-07-17,14,Örgryte IS,27.0,Reserves in stand by,Sweden,1934
416,,FW,Harry Lundahl,1905-10-16,14,IFK Eskilstuna,28.0,Reserves in stand by,Sweden,1934
417,-,FW,Joseph Alcazar,1911-06-15,9,Olympique de Marseille,22.0,France,France,1934
418,-,FW,Alfred Aston,1912-05-16,4,Red Star Paris,22.0,France,France,1934
419,-,MF,Georges Beaucourt,1912-04-15,0,Lille OSC,22.0,France,France,1934
420,-,FW,Roger Courtois,1912-05-30,1,FC Sochaux,21.0,France,France,1934
421,-,GK,Robert Défossé,1909-06-16,8,Lille OSC,24.0,France,France,1934
422,-,MF,Edmond Delfour,1907-11-01,25,RC Paris,26.0,France,France,1934
423,-,MF,Célestin Delmer,1907-02-15,12,Amiens SC,27.0,France,France,1934
424,-,MF,Louis Gabrillargues,1914-06-16,0,FC Sete,19.0,France,France,1934
425,-,DF,Joseph Gonzales,1907-02-19,0,Fives,27.0,France,France,1934
426,-,FW,Fritz Keller,1913-08-21,1,Strasbourg,20.0,France,France,1934
427,-,FW,Pierre Korb,1908-04-20,12,FC Mulhouse,26.0,France,France,1934
428,-,FW,Lucien Laurent,1907-12-10,9,CA Paris,26.0,France,France,1934
429,-,MF,Noël Lietaer,1908-11-17,5,Excelsior Roubaix,25.0,France,France,1934
430,-,GK,René Llense,1913-07-14,0,FC Sete,20.0,France,France,1934
431,-,DF,Jacques Mairesse,1905-02-27,5,Red Star Paris,29.0,France,France,1934
432,-,DF,Étienne Mattler,1905-12-25,22,FC Sochaux,28.0,France,France,1934
433,-,FW,Jean Nicolas,1913-06-09,11,FC Rouen,20.0,France,France,1934
434,-,MF,Roger Rio,1913-02-13,10,FC Rouen,21.0,France,France,1934
435,-,GK,Alex Thépot,1906-07-30,28,Red Star Paris,27.0,France,France,1934
436,-,DF,Jules Vandooren,1908-12-30,7,OC Lillois,25.0,France,France,1934
437,-,FW,Émile Veinante,1907-06-12,11,RC Paris,26.0,France,France,1934
438,-,MF,Georges Verriest,1909-07-15,4,RC Roubaix,24.0,France,France,1934
439,-,MF,Wim Anderiesen,1903-11-27,20,Ajax Amsterdam,30.0,Netherlands,Netherlands,1934
440,-,FW,Beb Bakhuys,1909-04-16,7,ZAC,25.0,Netherlands,Netherlands,1934
441,-,FW,Jan Graafland,1909-08-21,0,HBS Craeyenhout,24.0,Netherlands,Netherlands,1934
442,-,GK,Leo Halle,1903-02-17,2,Go Ahead Eagles Deventer,31.0,Netherlands,Netherlands,1934
443,-,FW,Wim Langendaal,1909-04-13,0,Xerxes Rotterdam,25.0,Netherlands,Netherlands,1934
444,-,FW,Kees Mijnders,1912-09-28,3,DFC Dordrecht,21.0,Netherlands,Netherlands,1934
445,-,FW,Jaap Mol,1912-02-03,5,KFC Koog,22.0,Netherlands,Netherlands,1934
446,-,MF,Toon Oprinsen,1910-11-25,1,NOAD Breda,23.0,Netherlands,Netherlands,1934
447,-,MF,Bas Paauwe,1911-10-04,1,SC Feijenoord Rotterdam,22.0,Netherlands,Netherlands,1934
448,-,MF,Henk Pellikaan,1910-11-10,10,Longa Tilburg,23.0,Netherlands,Netherlands,1934
449,-,FW,Arend Schoemaker,1911-11-08,1,Quick Den Haag,22.0,Netherlands,Netherlands,1934
450,-,FW,Kick Smit,1911-11-03,4,HFC Haarlem,22.0,Netherlands,Netherlands,1934
451,-,GK,Gejus van der Meulen,1903-01-23,53,HFC Haarlem,31.0,Netherlands,Netherlands,1934
452,-,DF,Jan van Diepenbeek,1903-08-05,2,Ajax Amsterdam,30.0,Netherlands,Netherlands,1934
453,-,MF,Puck van Heel,1904-01-21,41,SC Feijenoord Rotterdam,30.0,Netherlands,Netherlands,1934
454,-,GK,Adri van Male,1910-10-07,4,SC Feijenoord Rotterdam,23.0,Netherlands,Netherlands,1934
455,-,FW,Joop van Nellen,1910-03-15,17,DHC,24.0,Netherlands,Netherlands,1934
456,-,DF,Sjef van Run,1904-07-12,19,PSV Eindhoven,29.0,Netherlands,Netherlands,1934
457,-,FW,Leen Vente,1911-05-14,5,Neptunus Rotterdam,23.0,Netherlands,Netherlands,1934
458,-,FW,Manus Vrauwdeunt,1915-04-29,0,SC Feijenoord Rotterdam,19.0,Netherlands,Netherlands,1934
459,-,DF,Mauk Weber,1914-03-01,14,ADO Den Haag,20.0,Netherlands,Netherlands,1934
460,-,FW,Frank Wels,1909-02-21,14,Unitas Gorinchem,25.0,Netherlands,Netherlands,1934
461,-,MF,Ernesto Albarracín,,,Club Sportivo Buenos Aires,,Argentina,Argentina,1934
462,-,DF,Ramón Astudillo,,,Colón de Santa Fe,,Argentina,Argentina,1934
463,-,DF,Ernesto Belis,1909-02-01,,Defensores de Belgrano,25.0,Argentina,Argentina,1934
464,-,DF,Enrique Chimento,,,Barracas Central,,Argentina,Argentina,1934
465,-,FW,Alfredo Devincenzi,1911-01-24,,Club Atlético Estudiantil Porteño,23.0,Argentina,Argentina,1934
466,-,GK,Héctor Freschi,1911-05-22,,Sarmiento de Resistencia,23.0,Argentina,Argentina,1934
467,-,FW,Alberto Galateo,1913,,Unión de Santa Fe,,Argentina,Argentina,1934
468,-,GK,Ángel Grippa,,,Club Sportivo Alsina,,Argentina,Argentina,1934
469,-,FW,Roberto Irañeta,1915-03-21,,Gimnasia y Esgrima de Mendoza,19.0,Argentina,Argentina,1934
470,-,FW,Luis Izzeta,,,Defensores de Belgrano,,Argentina,Argentina,1934
471,-,MF,Arcadio López,1910-09-15,,Club Sportivo Buenos Aires,23.0,Argentina,Argentina,1934
472,-,MF,Alfonso Lorenzo,,,Barracas Central,,Argentina,Argentina,1934
473,-,MF,José Nehin,1911,,Sportivo Desamparados,,Argentina,Argentina,1934
474,-,DF,Juan Pedevilla,1909-06-06,,Club Atletico Estudiantil Porteño,24.0,Argentina,Argentina,1934
475,-,FW,Francisco Pérez,,,Almagro,,Argentina,Argentina,1934
476,-,FW,Francisco Rúa,1911-02-04,,Sportivo Dock Sud,23.0,Argentina,Argentina,1934
477,-,MF,Constantino Urbieta Sosa,1907-08-12,,Godoy Cruz,26.0,Argentina,Argentina,1934
478,-,FW,Federico Wilde,1909,,Unión de Santa Fe,,Argentina,Argentina,1934
479,-,DF,Gheorghe Albu,1909-09-12,20,Venus Bucureşti,24.0,Romania,Romania,1934
480,-,FW,Iuliu Barátky,1910-05-14,1,Crişana Oradea,24.0,Romania,Romania,1934
481,-,FW,Silviu Bindea,1912-10-24,8,Ripensia Timişoara,21.0,Romania,Romania,1934
482,-,FW,Iuliu Bodola,1912-02-26,20,CAO Oradea,22.0,Romania,Romania,1934
483,-,DF,Rudolf Bürger,1908-10-31,14,Ripensia Timişoara,25.0,Romania,Romania,1934
484,-,FW,Gheorghe Ciolac,1908-08-10,14,Ripensia Timişoara,25.0,Romania,Romania,1934
485,-,DF,Alexandru Cuedan,1910-09-26,0,Rapid Bucureşti,23.0,Romania,Romania,1934
486,-,MF,Vasile Deheleanu,1910-08-12,1,Ripensia Timişoara,23.0,Romania,Romania,1934
487,-,FW,Ştefan Dobay,1909-09-26,12,Ripensia Timişoara,24.0,Romania,Romania,1934
488,-,MF,Gusztáv Juhász,1911-12-19,0,Juventus Bucureşti,22.0,Romania,Romania,1934
489,-,FW,István Klimek,,0,ILSA Timişoara,,Romania,Romania,1934
490,-,MF,Rudolf Kotormány,1911-01-23,6,Ripensia Timişoara,23.0,Romania,Romania,1934
491,-,GK,Stanislau Konrad,,0,CA Timişoara,,Romania,Romania,1934
492,-,FW,Nicolae Kovács,1911-12-29,19,CAO Oradea,22.0,Romania,Romania,1934
493,-,MF,József Moravetz,1911-01-14,8,RGM Timişoara,23.0,Romania,Romania,1934
494,-,GK,Adalbert Püllöck,1907-04-06,5,Crişana Oradea,27.0,Romania,Romania,1934
495,-,FW,Sándor Schwartz,1909-01-18,4,Ripensia Timişoara,25.0,Romania,Romania,1934
496,-,FW,Graţian Sepi,1910-12-30,18,Universitatea Cluj,23.0,Romania,Romania,1934
497,-,DF,Lazăr Sfera,1909-04-29,2,Venus Bucureşti,25.0,Romania,Romania,1934
498,-,DF,Emerich Vogl,1905-08-12,27,Juventus Bucureşti,28.0,Romania,Romania,1934
499,-,MF,Károly Weichelt,1906-03-02,1,CAO Oradea,28.0,Romania,Romania,1934
500,-,GK,Vilmos Zombori,1906-01-11,3,Ripensia Timişoara,28.0,Romania,Romania,1934
501,-,MF,Mohammed Bakhati,,1,Zamalek Mokhtalat,,Egypt,Egypt,1934
502,-,MF,Hassan El-Far,1913-01-01,2,Zamalek Mokhtalat,21.0,Egypt,Egypt,1934
503,-,FW,Mahmoud El-Nigero,,0,Cairo Shourta Police,,Egypt,Egypt,1934
504,-,DF,Ali El-Kaf,1906-06-15,2,Zamalek Mokhtalat,27.0,Egypt,Egypt,1934
505,-,DF,Yacout El-Soury,,4,Al-Ittihad,,Egypt,Egypt,1934
506,-,FW,Mahmoud 'El-Tetsh' Mokhtar,1907-12-23,5,Al-Ahly National SC,26.0,Egypt,Egypt,1934
507,-,MF,Hemli Moustafa,1911-06-11,0,Al-Masry AC Port Said,22.0,Egypt,Egypt,1934
508,-,GK,Aziz Fahmy,,1,Al-Ahly National SC,,Egypt,Egypt,1934
509,-,FW,Abdelrahman Fawzi,1909-08-11,2,Al-Masry AC Port Said,24.0,Egypt,Egypt,1934
510,-,MF,Ahmed Halim Ibrahim,1910-02-10,,Zamalek Mokhtalat,24.0,Egypt,Egypt,1934
511,-,DF,Hamidu,,2,Al-Olympi Alexandria,,Egypt,Egypt,1934
512,-,FW,Mohammed Hassan,1905-02-05,-,Al-Masry AC Port Said,29.0,Egypt,Egypt,1934
513,-,MF,Hafez Kasseb,,0,Al-Olympi Alexandria,,Egypt,Egypt,1934
514,-,FW,Mohamed Latif,1909-10-23,2,Zamalek Mokhtalat,24.0,Egypt,Egypt,1934
515,-,FW,Hany Kamel Mahmoud,,0,Al-Ahly National SC,,Egypt,Egypt,1934
516,-,GK,Mustafa Mansour,1914-08-02,,Al-Ahly National SC,19.0,Egypt,Egypt,1934
517,-,FW,Kamel Mosaoud,1914-08-02,,Al-Ahly National SC,19.0,Egypt,Egypt,1934
518,-,MF,Ismail Rafaat,1908-01-01,0,Zamalek Mokhtalat,26.0,Egypt,Egypt,1934
519,-,MF,Hassan Raghab,1909-01-01,2,Union Recreation Ithad,25.0,Egypt,Egypt,1934
520,-,FW,Mostafa Taha,1910-03-23,,Zamalek Mokhtalat,24.0,Egypt,Egypt,1934
521,-,MF,Ariel,1910-02-22,,Botafogo,24.0,Brazil,Brazil,1934
522,-,FW,Antonio Almeida,1910-12-02,,EC Bahia,23.0,Brazil,Brazil,1934
523,-,FW,Armandinho,1911-03-06,,São Paulo da Floresta,23.0,Brazil,Brazil,1934
524,-,FW,Áttila[1],1910-12-16,,Botafogo,23.0,Brazil,Brazil,1934
525,-,MF,Canalli,1907-03-12,,Botafogo,27.0,Brazil,Brazil,1934
526,-,FW,Carvalho Leite,1912-06-25,,Botafogo,21.0,Brazil,Brazil,1934
527,-,FW,Gabriel Fernando Bile,1900-01-01,,Ypiranga,34.0,Brazil,Brazil,1934
528,-,GK,Germano,1911-03-14,,Botafogo,23.0,Brazil,Brazil,1934
529,-,FW,Leônidas,1913-09-06,,Vasco da Gama,20.0,Brazil,Brazil,1934
530,-,FW,Luisinho[1],1911-03-29,,São Paulo da Floresta,23.0,Brazil,Brazil,1934
531,-,DF,Luiz Luz,1909-11-29,,Americano-RS,24.0,Brazil,Brazil,1934
532,-,MF,Martim,1911-03-02,,Botafogo,23.0,Brazil,Brazil,1934
533,-,DF,Octacílio,1909-11-21,,Botafogo,24.0,Brazil,Brazil,1934
534,-,MF,Estanislau Pamplona,1904-03-24,,Botafogo,30.0,Brazil,Brazil,1934
535,-,FW,Patesko,1910-11-12,,Nacional,23.0,Brazil,Uruguay,1934
536,-,GK,Pedrosa,1913-07-08,,Botafogo,20.0,Brazil,Brazil,1934
537,-,DF,Sylvio Hoffman,1908-05-15,,São Paulo da Floresta,26.0,Brazil,Brazil,1934
538,-,MF,Tinoco,1904-12-02,,Vasco da Gama,29.0,Brazil,Brazil,1934
539,-,FW,Waldemar de Brito[1],1913-05-17,,São Paulo da Floresta,21.0,Brazil,Brazil,1934
540,-,MF,Waldyr[1],1912-03-21,,Botafogo,22.0,Brazil,Brazil,1934
541,-,GK,Arnold Badjou,1909-06-26,12,Daring Club de Bruxelles Societe Royale,24.0,Belgium,Belgium,1934
542,-,MF,Désiré Bourgeois,,2,Royal FC Malinois,,Belgium,Belgium,1934
543,-,FW,Jean Brichaut,1911-07-29,11,Royal Standard Club Liege,22.0,Belgium,Belgium,1934
544,-,FW,Jean Capelle,1913-10-26,14,Royal Standard Club Liege,20.0,Belgium,Belgium,1934
545,-,MF,Jean Claessens,1908-06-18,12,R. Union Saint-Gilloise,25.0,Belgium,Belgium,1934
546,-,FW,François Devries,1913-08-21,0,Royal Antwerp FC,20.0,Belgium,Belgium,1934
547,-,FW,Laurent Grimmonprez,1902-12-14,9,Royal Racing Club de Gand,31.0,Belgium,Belgium,1934
548,-,MF,August Hellemans,1907-09-14,28,Royal FC Malinois,26.0,Belgium,Belgium,1934
549,-,FW,Albert Heremans,,6,Daring Club de Bruxelles Societe Royale,,Belgium,Belgium,1934
550,-,DF,Constant Joacim,1908-03-03,2,Royal Berchem Sport,26.0,Belgium,Belgium,1934
551,-,FW,Robert Lamoot,,1,Daring Club de Bruxelles Societe Royale,,Belgium,Belgium,1934
552,-,FW,Francois Ledent,,-,Royal Standard Club Liege,,Belgium,Belgium,1934
553,-,DF,Jules Pappaert,1905-11-05,4,R. Union Saint-Gilloise,28.0,Belgium,Belgium,1934
554,-,MF,Frans Peeraer,1913-02-15,2,Royal Antwerp FC,21.0,Belgium,Belgium,1934
555,-,MF,Victor Putmans,,-,Royal Union Hutoise,,Belgium,Belgium,1934
556,-,MF,Rene Simons,,-,KSK Liersche,,Belgium,Belgium,1934
557,-,DF,Philibert Smellinckx,1911-01-17,5,R. Union Saint-Gilloise,23.0,Belgium,Belgium,1934
558,-,MF,Joseph Van Ingelgem,,11,Daring Club Bruxelles,,Belgium,Belgium,1934
559,-,GK,André Vandeweyer,1909-06-21,4,R. Union Saint-Gilloise,24.0,Belgium,Belgium,1934
560,-,FW,Louis Versyp,1908-12-05,33,Royal FC Brugeois,25.0,Belgium,Belgium,1934
561,-,FW,Bernard Voorhoof,1910-05-10,31,KSK Liersche,24.0,Belgium,Belgium,1934
562,-,MF,Félix Welkenhuysen,1908-12-12,3,R. Union Saint-Gilloise,25.0,Belgium,Belgium,1934
